NomeCompleto;DataNascimento;CPF;Município;Logradouro;Nro;Complemento;Bairro;TelefoneCelular;PossuiPet
ARTUR FIRMINO DA SILVA NETO;17/02/1999;11111111532;São Paulo;RUA SILVA TELES;1528;;BELENZINHO;11900219013;S
DILTON  ALVES DE MEDEIROS;22/09/1956;11111111845;São Paulo;RUA ANTONIO CORUJA;67;;BOM RETIRO;11997255273;N
PIETRO PERUGINO;05/10/1961;11111111267;São Paulo;RUA JARAGUA;S/N;;BOM RETIRO;11982064284;N
DANIEL DE ANDRADE VIEIRA;18/04/1993;11111111800;São Paulo;RUA MATIAS TEIXEIRA;165;;BOSQUE DA SAUDE;11983304373;N
ANTONIO CARLOS FERREIRA BONETTI;02/01/1994;11111111665;São Paulo;RUA CARAMURU;S/N;;BOSQUE DA SAUDE;11941451673;S
JOHN MICHAEL OSBOURNE;03/12/1948;11111111112;São Paulo;RUA SAMPSON C MENDES JUNIOR;S/N;ap 1202;BRAS;31989502136;S
ELEANDRO APARECIDO LIMA;26/05/1974;11111111310;São Paulo;RUA CONSELHEIRO BELISARIO;S/N;;BRAS;11968733424;N
CLAUDIO GOMES FONSECA;22/11/1974;11111111727;São Paulo;RUA TORQUATO NETO;S/N;;BRAS;11960672913;N
GERSON PINHEIRO DE SÁ;12/04/1977;11111111316;São Paulo;RUA HENRIQUE DIAS;S/N;;BRAZ;11966873304;N
ANTONIO CARLOS ALVES DA SILVA;27/09/2002;11111111653;São Paulo;RUA FIRMIANO PINTO;S/N;;BRAZ;11937731433;N
LORENZO COSTA;18/10/1972;11111111243;São Paulo;RUA DOS TRILHOS C BRESSER;S/N;;BRESSER;11989504764;N
APARECIDO RAVAZZI;06/01/1986;11111111300;São Paulo;RUA ROQUE PETRELA;S/N;;BROOKLIM PAULISTA;11971833624;S
FRANCISCA QUELINDEJARA VASCONCELOS SOBIESKI;21/09/1963;11111111905;São Paulo;RUA GODOI COLACO;1016;;BROOKLIN PAULISTA;11997694437;S
ANDRÉ MARTINS DE CASTRO LAMEIRA;03/02/1976;11111111486;São Paulo;RUA ACAIPE;S/N;;BURGO PAULISTA;11914169904;S
JAMES NEWELL OSTERBERG;21/04/1947;11111111125;São Paulo;RUA PLINIO SALGADO;S/N;;BUTANTA;11947218349;S
FRANCISCO NUNES SOBRINHO;01/06/1961;11111111937;São Paulo;RUA LUIS ANTONIO MARTINS;S/N;;BUTANTA;11996413797;N
EVANDRO LUIZ GONÇALVES LEAL;17/01/1983;11111111516;São Paulo;RUA AGOSTINHO CANTU C/ ROMAO GOMES;S/N;;BUTANTA;11904869304;N
BRÍGIDO FERNANDES DA CRUZ;15/05/2000;11111111591;São Paulo;AV CLAUDIO FRANCHI;49;;BUTANTA;11918510193;N
APARECIDO DA SILVA LARANJEIRA;25/09/1999;11111111714;São Paulo;RUA CLEUSA MILOCHI;S/N;;CACHOEIRINHA;11956642653;S
JURACY DA CONCEIÇÃO DOS SANTOS;03/04/1955;11111111859;São Paulo;RUA VITORIO EMANUEL;312;;CAMBUCI;11999535357;N
ARCESILAO DE PITANE;25/05/1957;11111111130;São Paulo;RUA INGLES DE SOUZA;618;;CAMBUCI;11963533544;S
ANDRÉ RICARDO BARBOSA;01/02/1982;11111111478;São Paulo;RUA TEODORETO SOUTO;957;;CAMBUCI;11916650064;N
ARNALDO TORRES DE MAGALHAES FILHO;15/04/1995;11111111525;São Paulo;RUA DOM BOSCO;75;;CAMBUCI;11902079124;S
CRISTIANE ARAUJO DA SILVA;09/07/1999;11111111772;São Paulo;RUA STEFANO;657;;CAMBUCI;11974623813;S
GIULIANO PESELLO;23/04/1957;11111111236;São Paulo;RUA CONDE DE PORTO ALEGRE;S/N;;CAMPO BELO;11991674904;S
DAVID ZYLBERGELD NETO;01/04/1962;11111111919;São Paulo;RUA CRISTOVAO PEREIRA;1223;;CAMPO BELO;11997134157;S
LORENZO DI CREDI;07/02/1974;11111111244;São Paulo;RUA GIL EANES;S/N;;CAMPO BELO;11989194744;S
EDJANE LIMA DE AZEVEDO;28/04/2002;11111111614;São Paulo;RUA CONDE DE PORTO ALEGRE;762;;CAMPO BELO;11925640653;N
IBRAHIM AHMAD HAMMOUD;19/05/1976;11111111925;São Paulo;AV AMADEU DA SILVA SAMELLO;S/N;;CAMPO LIMPO;11996894037;N
JOAO BELO DE SOUZA;18/08/2002;11111111551;São Paulo;RUA MARTINHO VAZ DE BARROS;S/N;;CAMPO LIMPO;11906109393;S
ADRIANA ALVES DE OLIVEIRA;13/10/1971;11111111387;São Paulo;RUA GOITA;130;;CANGAIBA;11944861884;S
ANGELA BARBOSA DOS SANTOS;02/10/1976;11111111500;São Paulo;RUA JULIO RINALDI;12;;CANGAIBA;11909829624;S
LÍGIA CRISTINA CONDURSI DA SILVA;12/12/2002;11111111618;São Paulo;RUA BARTOLOMEU QUADROS;S/N;;CANGAIBA;11926880733;S
JOSE ANTONIO ALVES DA COSTA;12/12/2002;11111111611;São Paulo;RUA VIDAL DE NEGREIROS;76;;CANINDE;11924710593;S
ALEXANDRE PIMENTA ARAÚJO;28/09/1973;11111111440;São Paulo;RUA MODELAR;S/N;;CAPAO REDONDO;11928430824;N
JOSÉ CARLOS OLIVEIRA;08/05/1988;11111111677;São Paulo;AV ATHOS THOMAZ FERRACIO;S/N;;CAPAO REDONDO;11945171913;N
ANDREIA APARECIDA GOMES DE SOUSA FERNANDES;28/10/1992;11111111483;São Paulo;RUA PAULINO VITAL DE MORAES;S/N;;CAPAO REDONDO;11915099964;N
MARIOTTO ALBERTINELLI;10/08/1975;11111111251;São Paulo;AV DO ARVOREIRO;S/N;;CAPELA DO SOCORRO;11987024604;S
GLADISON DAVID NEIVA DIAS;08/12/1988;11111111577;São Paulo;RUA ANNA PAPINI GUARANHA;S/N;;CARANDIRU;11914169913;S
ANTÍSTENES MANCINE;17/10/1951;11111111129;São Paulo;RUA CESAR PENA RAMOS;592;;CASA VERDE;11963531524;N
MARCOS ROGERIO MANTEIGA;21/06/1974;11111111932;São Paulo;RUA MARAMBAIA;25;;CASA VERDE;11996613897;N
TEOFRASTO DE ERESOS;24/07/1975;11111111151;São Paulo;RUA MADALENA MADUREIRA;54;;CASA VERDE;11963575964;N
CINTIA GOMES ZANCO;15/09/1978;11111111745;São Paulo;RUA FREDERICO PENTEADO JUNIOR;11;;CASA VERDE;11966253273;N
ANDERSON SILVA DOS SANTOS;09/04/1990;11111111466;São Paulo;RUA CAETANO DESCO;590;;CASA VERDE;11920370304;N
MASACCIO SOUZA;14/05/1973;11111111252;São Paulo;RUA LADISLAU ROMAN;S/N;;CAXINGUI;11986714584;S
DALILA CAMARGO;19/01/1987;11111111783;São Paulo;RUA DA CONQUISTA-G;S/N;;CDHU CAMARGO VELHO;11978034033;S
MICHAEL ANDREW MCKAGAN;05/02/1964;11111111124;São Paulo;RUA CANTAREIRA;S/N;;CENTRO;27943426785;S
EDSON CARNEIRO DA SILVA;25/09/1966;11111111965;São Paulo;RUA FERNAO CARDIM;S/N;;CERQUEIRA CESAR;11995293237;S
ANDREA SCHIAVONE;02/04/1965;11111111165;São Paulo;AL RIO CLARO;S/N;;CERQUEIRA CEZAR;11988956244;N
CRISTIANE MUSA PINO MIRANDA;14/09/1989;11111111624;São Paulo;RUA ANTONIO BICUDO;50;;CERQUEIRA CEZAR;11928740853;N
ANE CAROLINE NUNES VIANA DOS SANTOS;24/04/1990;11111111496;São Paulo;RUA HERCULANO DE FREITAS;203;;CERQUEIRA CEZAR;11911069704;N
ALESSANDRO GUEDES DOS SANTOS;14/01/1996;11111111420;São Paulo;PC PADRE AGENOR CARDIM;S/N;;CHAC BELENZINHO;11934631224;S
MICHAEL PETER BALZARY;16/10/1962;11111111126;São Paulo;RUA GUIRATINGA;S/N;ap 180;CHAC INGLESA;27967745890;N
ANGELO CIRO MALFATTI;02/02/1999;11111111510;São Paulo;RUA PEDRO MARIGLIANI;23;;CHAC INGLESA;11906729424;S
ANDREA REIS LOPES BERTAZZO;21/07/1976;11111111475;São Paulo;RUA DA PAZ;1201;;CHAC STO ANTONIO;11917580124;N
NEROCCIO DI BARTOLOMEO DE' LANDI;25/10/1987;11111111259;São Paulo;RUA ALEXANDRE DUMAS;1316;;CHAC STO ANTONIO;11984544444;S
RIDOLFO GHIRLANDAIO;26/07/1985;11111111271;São Paulo;AV PEDROSO DA SILVA;S/N;;CHAC TRES MENINAS;11980824204;S
MARIA ALEXANDRA AJUYARA FASANO;18/07/1969;11111111413;São Paulo;RUA DR EUGENIO FORTES COELHO;S/N;;CHORA MENINO;11936801364;S
MARCOS PRUDENTE CAJE;06/10/1963;11111111935;São Paulo;RUA TALES DE MILETO;392;;CID A E CARVALHO;11996493837;S
ALEXANDRE DOS SANTOS PEREIRA;14/03/1975;11111111428;São Paulo;AV CUPECE;25;;CID ADEMAR;11932151064;S
DAVID BEN AVRAM;08/09/1984;11111111809;São Paulo;RUA VISCONDE DE STA ISABEL;S/N;;CID ADEMAR;11986094553;N
ALDEMIR ALVARO DOS REIS;14/02/1989;11111111412;São Paulo;RUA ANTONIO DE PINHO AZEVEDO;S/N;;CID ADEMAR;11937111384;N
CELSO DE ALMEIDA ARAUJO;21/07/1971;11111111690;São Paulo;RUA MAURO ARAUJO RIBEIRO;46;;CID D ABRIL;11949202173;S
ODAILDES DAMACENA VIANA;20/04/1982;11111111781;São Paulo;RUA SAO GUILHERME;7377;;CID DUTRA;11977413993;S
MARCOS PAULO CABRAL DE LIMA;20/04/1987;11111111679;São Paulo;RUA NOSSA SENHORA DO OUTEIRO;S/N;;CID DUTRA;11945791953;S
MARLI DA PENHA VIGNOLI LAMARCA;27/10/1991;11111111899;São Paulo;RUA JOSE BONIFACIO FILHO;S/N;;CID DUTRA;11997934557;S
PIRRO DE ELIS O CÉTICO;24/07/1946;11111111145;São Paulo;RUA FRANCISCO MUNHOZ FILHO;501;;CID LIDER;11963563844;S
ANTONIO CARLOS PEREIRA SILVA;24/03/1985;11111111651;São Paulo;RUA JERONIMO DE BARROS;S/N;;CID LIDER;11937111393;N
FRANCESCO DI GIORGIO;07/07/1950;11111111215;São Paulo;AV NOVA INDEPENDENCIA;S/N;;CID MONCOES;11888115324;N
REGINALDO DA ROCHA MAXIMO;12/12/2002;11111111619;São Paulo;RUA PENSYLVANIA;S/N;;CID MONCOES;11927190753;N
MARIO ANTONIO PIRES MORO;13/04/2002;11111111584;São Paulo;AV MOACIR DANTAS ITAPICURU;826;;CID NOVA S MIGUEL;11916340053;S
CRISTIANE ALEXANDRE MENDES;03/04/1993;11111111770;São Paulo;RUA CACHOEIRA PAULISTA;80;;CID PATRIARCA;11974003773;S
CRISTINA PEREIRA MONTEIRO;27/03/1995;11111111771;São Paulo;AV PAU D'ARCO ROXO;220;;CID PEDRO JOSE NUNES;11974313793;N
GIOVANNI ANTONIO BOLTRAFFIO;12/07/1974;11111111227;São Paulo;RUA MARIA LUIZA DO VAL PENTEADO;S/N;;CID SAO MATEUS;11994465084;N
EBION PEREIRA DA COSTA;01/11/1968;11111111950;São Paulo;RUA JOAQUIM GOUVEIA FRANCO;173;;CID SAO MATHEUS;11995893537;N
SABRINA WAICKESSEL AIDAR;21/04/1964;11111111296;São Paulo;RUA MOISES DE CORENA;S/N;;CID TIRADENTES;11973073704;N
ANTONIAZZO ROMANO;05/10/1984;11111111169;São Paulo;RUA DONA ELOA DO VALLE QUADROS;S/N;;CID TIRADENTES;11988956244;N
CLOVIS DOS SANTOS COSTA JUNIOR;06/04/1992;11111111741;São Paulo;RUA WILSON FERNANDES S CARVALHO;S/N;;CID TIRADENTES;11965013193;S
AILTON BOLIGNARI;12/11/1965;11111111920;São Paulo;AV LUIS JOSE COSTA (LEANDRO);S/N;;CID TIRADENTES COHAB;11997094137;S
EDNEY ARDANUY VASSALO;09/03/1979;11111111963;São Paulo;RUA CRISTIANO LOBE;S/N;;CID TIRADENTES COHAB;11995373277;S
ANTONIO RAIMUNDO MATIAS DOS SANTOS;12/10/2002;11111111683;São Paulo;PC NOVA AMERICA;15-A;;CID VARGAS;11947032033;S
MARCO ANTONIO BIOTO;09/07/1980;11111111575;São Paulo;RUA B-10;S/N;;CIDADE TIRADENTES;11913549873;N
CLEBER DAMASCENA BENJAMIM CUNHA;02/08/1997;11111111736;São Paulo;AV HENRIQUETA NOGUEZ BRIEBA;S/N;;CJ HAB FAZENDA DO CA;11963463093;N
ISRAEL PALÓPOLIS;26/08/1966;11111111294;São Paulo;AV CARLOS ALBERTO BASTOS MACHADO;S/N;;COCAIA;11973693744;N
ALEX SANDRO ALVES SOUZA;20/05/1990;11111111432;São Paulo;RUA AMAZONAS MARCONDES;S/N;;COCAIA;11930910984;S
DAMIÃO HIGINO DE OLIVEIRA;25/09/1999;11111111786;São Paulo;RUA RUBENS DE OLIVEIRA;S/N;;COCAIA;11978964093;N
MARCO AURELIO GABRIEL DE OLIVEIRA;20/08/1956;11111111934;São Paulo;RUA ANTONIO CRESPO;S/N;;COHAB II;11996533857;S
PAMELA CHRISTY MESQUITA MUNIZ;18/07/1997;11111111706;São Paulo;RUA VIRGINIA FERNI;S/N;;COHAB II;11954162493;N
COPPO DI MARCOVALDO;21/04/1969;11111111194;São Paulo;AV INVERNADA;351;;CONGONHAS;11913455744;S
PAUL DAVID HEWSON;10/05/1960;11111111135;São Paulo;RUA MATO GROSSO C/ PARA;S/N;;CONSOLACAO;11967412343;S
FLAVIO VIEIRA DA MOTTA;07/05/1962;11111111924;São Paulo;RUA MAJOR QUEDINHO;S/N;;CONSOLACAO;11996934057;S
SAUL HUDSON;23/07/1965;11111111134;São Paulo;ES DO SABAO;448;apto 73;CRUZ DAS ALMAS;65971112313;S
BONIFAZIO VERONESE;17/12/1955;11111111187;São Paulo;RUA DR AUGUSTO S LOPES;200;;ENG GOULART;11934595884;S
FIORENZO DI LORENZO;01/06/1958;11111111209;São Paulo;PC DO HORTICULTORES;415;;ENG GOULART;11889915444;N
DOMENICO PULIGO;19/02/1969;11111111202;São Paulo;RUA SHOBEE KUMAGAI;6996;;ERMELINO MATARAZZO;11892015584;N
ELISABETH CANNAVAM RIPOLI;13/10/1988;11111111567;São Paulo;RUA VITORIA SIMIONATO;580;;ERMELINO MATARAZZO;11911069713;S
BENONI NASCIMENTO DE MOURA;22/04/1997;11111111556;São Paulo;RUA DARIO COSTA MATOS;45;;ERMELINO MATARAZZO;11907659493;S
ISRAEL PEREIRA COUTINHO;26/07/1959;11111111323;São Paulo;PC ROBERTO GOMES PEDROSA;S/N;;ESTADIO DO MORUMBI;11964703164;S
TIMOTEO VITI;27/04/1980;11111111282;São Paulo;PC EISENHOWER;S/N;;FAZENDA JUTA;11977413984;S
CLAUDIO GOMES DOS SANTOS SILVA;31/01/1996;11111111729;São Paulo;RUA AUGUSTIN LUBERTI;S/N;;FAZENDA JUTA;11961292953;S
EDIVALDO RODRIGUES NOLAÇO;17/02/1959;11111111849;São Paulo;RUA LASAR SEGAL;409;;FREGUESIA DO O;11998495353;N
